Country Rank,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,diff_whisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,GDPRatio,Explained by: Social support,SocialRatio,Explained by: Healthy life expectancy,LifeExpectancyRatio,Explained by: Freedom to make life choices,FreedomRatio,Explained by: Generosity,GenerosityRatio,Explained by: Perceptions of corruption,CorruptionRatio,Dystopia + residual,(D+R) Ratio,Residual (+/-),Life Ladder 2018,Positive Affect 2018,Negative Affect 2018,Std. Dev. of Ladder Score 2018,"Gini of Household income reported in Gallup, by wp5-year 2018","GINI index (World Bank estimate), avg. 2000-16",Confidence in National Government 2018 ,Ladder score change from 2008-2012,Years missing from data set ,Total sample size 2017-2019,Most Recent Mode,Sample size 2019,Sample size 2018,Sample size 2017,Mode of interview 2019,Mode of interview 2018,Mode of interview 2017,Boolean Mode Change,Languages of interview 2019,Languages of interview 2018,Langauges of interview 2017,Avg. % of excluded population,% of excluded population 2019,% of excluded population 2018,% of excluded population 2018,Non-numeric exclusions,Notes 2019,Notes 2018,Notes 2017,2016 Suicide Rate (Both Genders),Notes on Suicide Data,"Mortality rate due to homicide (per 100,000 population) 2017",Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE)z (%) 2017,Age-standardized prevalence of raised blood pressure among persons aged 18+ yearsaj (SBP of >140 mmHg and/or DBP >90 mmHg) 2015
1,Finland,Western Europe,7.808700085,0.031156305,7.869766235,0.122132301,7.747633934,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,1.972316742,1.285189509,0.164584309,1.499525905,0.192032718,0.961271405,0.123102616,0.66231674,0.084817797,0.159670442,0.020447762,0.477857262,0.061195494,2.762835026,0.35381498,0.790518284,7.858107,0.781546,0.181781,1.425612,0.362294,0.275615,0.555102,0.348788738,0,3025,Mobile Telephone,1025,1000,1000,Mobile Telephone,Mobile Telephone,Mobile Telephone,,"Finnish, Swedish ","Finnish, Swedish ","Finnish, Swedish ",0,,,,,,,,15.9,,1.2,13,19.4
2,Denmark,Western Europe,7.645599842,0.033492286,7.711244583,0.131289482,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,1.972316742,1.326948524,0.173557151,1.503449202,0.196642413,0.979332566,0.128091005,0.665039897,0.086983351,0.242793396,0.031755964,0.495260328,0.064777171,2.432740688,0.31818834,0.460423946,7.648786,0.821423,0.206053,1.65106,0.479051,0.267,0.632478,-0.101243019,0,3025,Landline and Mobile Telephone,1025,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,Danish,Danish,Danish,0,,,,,,,,12.8,,1.1,16.6,20.6
3,Switzerland,Western Europe,7.559899807,0.035014171,7.628527641,0.137255668,7.491271973,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.972316742,1.39077425,0.183967286,1.472403407,0.194764937,1.040533185,0.137638489,0.62895447,0.083196138,0.269055754,0.035589857,0.407945901,0.053961813,2.35026741,0.31088605,0.377950668,7.508587,0.792226,0.19152,1.639632,0.320725,0.3281,0.849979,-0.090215206,0,3025,Landline and Mobile Telephone,1025,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,"German, French, Italian ","German, French, Italian ","German, French, Italian ",0,,,,,,,,17.2,,0.6,11,18
4,Iceland,Western Europe,7.504499912,0.059615862,7.621346951,0.233694077,7.387652874,10.77255917,0.974669576,73,0.948891878,0.246944219,0.711709738,1.972316742,1.326501608,0.176760827,1.547567487,0.206218603,1.000843406,0.13336577,0.661980748,0.088211174,0.362330228,0.048281729,0.144540772,0.019260547,2.460688114,0.32789502,0.488371372,,,,,,,,0.149420738,1,1004,Landline and Mobile Telephone,504,0,500,Landline and Mobile Telephone,,Landline and Mobile Telephone,,Icelandic,,Icelandic,0,,,,,,,,14,,1.4,15.7,19.7
5,Norway,Western Europe,7.487999916,0.034837384,7.55628109,0.136562348,7.419718742,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,1.972316742,1.42420733,0.190198631,1.495172501,0.199675817,1.008071899,0.134624988,0.670200884,0.089503324,0.287985086,0.038459547,0.434100568,0.057972833,2.168266296,0.28956548,0.195949554,7.444262,0.827414,0.211862,1.519595,0.336649,0.272231,0.679503,-0.167290211,1,2025,Landline and Mobile Telephone,1025,1000,0,Landline and Mobile Telephone,Landline and Mobile Telephone,,,Norwegian,Norwegian,,0,,,,,,,,12.2,,0.6,17.9,19.7
6,Netherlands,Western Europe,7.448900223,0.02779175,7.503372192,0.108943939,7.394428253,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,1.972316742,1.338946342,0.179750876,1.463645935,0.196491548,0.975675344,0.130982469,0.61362648,0.082378131,0.336317569,0.045149963,0.368569762,0.049479756,2.352117062,0.31576702,0.37980032,7.463097,0.861977,0.204794,1.234733,0.467998,0.286333,0.656541,-0.092902184,0,3032,Landline and Mobile Telephone,1029,1002,1001,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,Dutch,Dutch,Dutch,0,,,,,,,,12.6,,0.8,15.3,18.7
7,Sweden,Western Europe,7.353499889,0.036234196,7.424519062,0.142038345,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.972316742,1.322235227,0.179810328,1.433347702,0.194920476,0.986470461,0.134149789,0.650297701,0.088433768,0.272827893,0.037101774,0.442066371,0.060116459,2.246299267,0.30547349,0.273982525,7.374792,0.822676,0.160755,1.601522,0.38151,0.274154,0.494396,-0.090690136,0,3026,Landline and Mobile Telephone,1025,1001,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,Swedish,Swedish,Swedish,0,,,,,,,,14.8,,1.1,18.7,19.3
8,New Zealand,North America and ANZ,7.299600124,0.039465468,7.376952648,0.154705047,7.222247601,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,1.972316742,1.242317915,0.170189859,1.48721838,0.203739706,1.008138299,0.138108702,0.646789908,0.088606211,0.325726211,0.044622473,0.461268276,0.063190897,2.128108025,0.29153762,0.155791283,7.370286,0.845363,0.167951,1.569916,0.388641,,0.642461,0.044360638,0,3044,Landline and Mobile Telephone,1042,1001,1001,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,English,English,English,0,,,,,,,,12.1,,1.1,19.3,16.2
9,Austria,Western Europe,7.294199944,0.033365164,7.359595776,0.130791665,7.228804111,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,1.972316742,1.317285538,0.18059356,1.437444925,0.197066839,1.000933528,0.13722321,0.603368878,0.082718994,0.255509764,0.035029169,0.281256139,0.038558874,2.398446083,0.32881551,0.426129341,7.396002,0.75235,0.226059,1.55194,0.299504,0.302692,0.488679,-0.037103176,0,3025,Landline and Mobile Telephone,1025,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,German,German,German,0,,,,,,,,15.6,,0.5,15.3,21
10,Luxembourg,Western Europe,7.237500191,0.030851794,7.297969818,0.120939255,7.177030563,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,1.972316742,1.536676049,0.212321383,1.387528419,0.191713766,0.986442685,0.13629605,0.610137045,0.08430218,0.19595392,0.027074807,0.367041469,0.050713846,2.153700352,0.29757517,0.18138361,7.242631,0.750309,0.201894,1.344782,0.326442,0.316077,0.755201,0.196998119,0,3025,Landline and Mobile Telephone,1025,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,"French, German ","French, German ","French, German ",0,,,,,,,,13.5,,0.6,10.8,21.9
